Country,Code,ContinentCode,Year,Month,Private sector credit billion currency units,Business credit billion currency units,Household credit billion currency units,Mortgage credit billion currency units,Consumer credit billion currency units,Consumer Price Index (CPI),Money supply billion currency units,Bank deposit interest rate percent,Mortgage credit interest rate percent,Business credit interest rate percent,Foreign exchange reserves billion currency units,Inflation monthly percent change in the CPI,Inflation annual percent change in the CPI,USD Exchange rate,Policy rate percent,Debt service ratios for private non-financial sector,Household debt to GDP in percent,Stock market index,Long-term interest rate
Kyrgyzstan,KGZ,AS,1993,1,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1993,2,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1993,3,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1993,4,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1993,5,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1993,6,,,,,,,0.45,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1993,7,,,,,,,0.48,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1993,8,,,,,,,0.5,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1993,9,,,,,,,0.57,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1993,10,,,,,,,0.63,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1993,11,,,,,,,0.61,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1993,12,,,,,,,0.63,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1994,1,,,,,,,0.68,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1994,2,,,,,,,0.82,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1994,3,,,,,,,0.77,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1994,4,,,,,,,0.87,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1994,5,,,,,,,0.91,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1994,6,,,,,,,1.01,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1994,7,,,,,,,1.12,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1994,8,,,,,,,1.19,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1994,9,,,,,,,1.23,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1994,10,,,,,,,1.31,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1994,11,,,,,,,1.31,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1994,12,,,,,,,1.45,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1995,1,,,,,,,1.46,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1995,2,,,,,,,1.53,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1995,3,,,,,,,1.57,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1995,4,,,,,,,1.63,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1995,5,,,,,,,1.73,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1995,6,,,,,,,1.88,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1995,7,,,,,,,2.06,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1995,8,,,,,,,2.2,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1995,9,,,,,,,2.18,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1995,10,,,,,,,2.31,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1995,11,,,,,,,2.29,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1995,12,,,,,,,2.54,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1996,1,1.05,,,,,,2.4,37.6,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1996,2,1.05,,,,,,2.43,38.78,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1996,3,1.08,,,,,,2.4,31.68,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1996,4,1.07,,,,,,2.36,28.48,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1996,5,0.36,,,,,,2.39,31.9,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1996,6,0.38,,,,,,2.45,36.8,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1996,7,0.37,,,,,,2.54,36.71,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1996,8,0.38,,,,,,2.64,36.28,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1996,9,0.38,,,,,,2.74,33.73,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1996,10,0.39,,,,,,3,32.27,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1996,11,0.38,,,,,,2.85,28.22,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1996,12,0.41,,,,,,2.95,35.09,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1997,1,0.4,,,,,,2.87,34.4,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1997,2,0.42,,,,,,2.86,35.26,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1997,3,0.47,,,,,,2.84,35.68,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1997,4,0.49,,,,,,2.86,36.78,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1997,5,0.55,,,,,,2.91,36.99,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1997,6,0.59,,,,,,3.22,41.34,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1997,7,0.66,,,,,,3.29,39.78,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1997,8,0.7,,,,,,3.34,37,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1997,9,0.74,,,,,,3.2,38.44,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1997,10,0.78,,,,,,3.3,38.47,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1997,11,0.85,,,,,,3.33,44.22,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1997,12,1,,,,,,3.54,36.31,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1998,1,1.07,,,,,,3.66,38.08,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1998,2,1.17,,,,,,3.62,36.11,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1998,3,1.3,,,,,,3.84,36.69,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1998,4,1.45,,,,,,4.04,34.06,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1998,5,1.58,,,,,,4.05,31.02,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1998,6,1.53,,,,,,3.97,33.22,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1998,7,1.55,,,,,,4.19,35.73,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1998,8,1.58,,,,,,3.79,37.34,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1998,9,1.68,,,,,,3.76,45.16,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1998,10,1.7,,,,,,3.66,44.32,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1998,11,1.94,,,,,,3.36,47.61,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1998,12,1.72,,,,,,3.75,46.44,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1999,1,1.86,,,,,,3.66,39.18,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1999,2,1.84,,,,,,3.71,64.64,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1999,3,2.04,,,,,,3.79,42.59,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1999,4,1.45,,,,,,3.81,39.26,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1999,5,1.57,,,,,,3.72,37.92,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1999,6,1.51,,,,,,3.89,40.5,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1999,7,1.46,,,,,,4.55,40.19,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1999,8,1.54,,,,,,4.42,40.92,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1999,9,1.56,,,,,,4.49,45.93,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1999,10,1.54,,,,,,4.52,49.03,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1999,11,1.61,,,,,,4.27,43.26,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1999,12,1.53,,,,,,4.75,43.29,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,2000,1,1.53,,,,,,4.5,41.03,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,2000,2,1.49,,,,,,4.53,37.76,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,2000,3,1.52,,,,,,4.49,36.12,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,2000,4,1.5,,,,,,4.74,35.69,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,2000,5,1.48,,,,,,4.73,35.42,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,2000,6,1.43,,,,,,5.06,35.26,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,2000,7,1.48,,,,,,5.3,26.27,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,2000,8,1.53,,,,,,5.29,25.17,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,2000,9,1.45,,,,,,5.24,23.69,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,2000,10,1.47,,,,,,5.61,22.35,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,2000,11,1.45,,,,,,5.06,23.77,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,2000,12,1.46,,,,,,5.29,25.56,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,2001,1,1.42,,,,,,5.09,26.22,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,2001,2,1.47,,,,,,5.06,24.92,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,2001,3,1.52,,,,,,5.18,22.34,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,2001,4,1.61,,,,,,5.23,21.03,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,2001,5,1.56,,,,,,5.1,19.06,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,2001,6,1.45,,,,,,5.11,16.91,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,2001,7,1.49,,,,,,5.35,16.7,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,2001,8,1.51,,,,,,5.43,16.25,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,2001,9,1.38,,,,,,5.75,19.01,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,2001,10,1.37,,,,,,5.77,17.01,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,2001,11,1.44,,,,,,5.94,17.82,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,2001,12,1.52,,,,,,6.19,16.68,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,2002,1,1.5,,,,,,6.13,16.48,,,0.29,,,,,,,,
Kyrgyzstan,KGZ,AS,2002,2,1.51,,,,,,6.37,16.04,,,0.28,,,,,,,,
Kyrgyzstan,KGZ,AS,2002,3,1.58,,,,,,6.5,16.25,,,0.28,,,,,,,,
Kyrgyzstan,KGZ,AS,2002,4,1.58,,,,,,6.58,15.11,,,0.28,,,,,,,,
Kyrgyzstan,KGZ,AS,2002,5,1.67,,,,,,6.7,13.29,,,0.28,,,,,,,,
Kyrgyzstan,KGZ,AS,2002,6,1.59,,,,,,6.92,13.49,,,0.26,,,,,,,,
Kyrgyzstan,KGZ,AS,2002,7,1.59,,,,,,7.06,12.1,,,0.28,,,,,,,,
Kyrgyzstan,KGZ,AS,2002,8,1.59,,,,,,7.25,12.11,,,0.28,,,,,,,,
Kyrgyzstan,KGZ,AS,2002,9,1.66,,,,,,7.53,12.56,,,0.3,,,,,,,,
Kyrgyzstan,KGZ,AS,2002,10,1.72,,,,,,8.13,12.07,,,0.3,,,,,,,,
Kyrgyzstan,KGZ,AS,2002,11,1.76,,,,,,8.27,12.06,,,0.31,,,,,,,,
Kyrgyzstan,KGZ,AS,2002,12,2.01,,,,,,8.3,11.89,,,0.32,,,,,,,,
Kyrgyzstan,KGZ,AS,2003,1,2.01,,,,,90.8,8.78,11.46,,,0.31,,,,,,,,
Kyrgyzstan,KGZ,AS,2003,2,1.98,,,,,91.2,8.69,11.02,,,0.31,0.44,,,,,,,
Kyrgyzstan,KGZ,AS,2003,3,2.03,,,,,91.8,8.76,9.37,,,0.33,0.66,,,,,,,
Kyrgyzstan,KGZ,AS,2003,4,2.1,,,,,92.7,8.99,10.59,,,0.32,0.98,,,,,,,
Kyrgyzstan,KGZ,AS,2003,5,2.18,,,,,94,9.15,11.53,,,0.33,1.4,,,,,,,
Kyrgyzstan,KGZ,AS,2003,6,2.24,,,,,92.2,9.36,11.16,,,0.33,-1.91,,,,,,,
Kyrgyzstan,KGZ,AS,2003,7,2.35,,,,,90.6,9.5,10.84,,,0.34,-1.74,,,,,,,
Kyrgyzstan,KGZ,AS,2003,8,2.36,,,,,90,9.71,11.15,,,0.34,-0.66,,,,,,,
Kyrgyzstan,KGZ,AS,2003,9,2.49,,,,,89.9,9.71,6.82,,,0.36,-0.11,,,,,,,
Kyrgyzstan,KGZ,AS,2003,10,2.62,,,,,92.3,10.62,9.67,,,0.37,2.67,,,,,,,
Kyrgyzstan,KGZ,AS,2003,11,2.84,,,,,94.2,11.07,9.36,,,0.38,2.06,,,,,,,
Kyrgyzstan,KGZ,AS,2003,12,2.89,,,,,95,11.09,8.77,,,0.39,0.85,,,,,,,
Kyrgyzstan,KGZ,AS,2004,1,2.85,,,,,95.9,11.65,9.41,,,0.41,0.95,5.62,,,,,,
Kyrgyzstan,KGZ,AS,2004,2,2.99,,,,,96.1,11.7,8.84,,,0.4,0.21,5.37,,,,,,
Kyrgyzstan,KGZ,AS,2004,3,3.34,,,,,96.2,11.57,10.12,,,0.4,0.1,4.79,,,,,,
Kyrgyzstan,KGZ,AS,2004,4,3.57,,,,,95.6,11.9,9.06,,,0.39,-0.62,3.13,,,,,,
Kyrgyzstan,KGZ,AS,2004,5,3.92,,,,,95.6,12.13,9.39,,,0.39,0,1.7,,,,,,
Kyrgyzstan,KGZ,AS,2004,6,4.17,,,,,95.9,11.88,8.88,,,0.39,0.31,4.01,,,,,,
Kyrgyzstan,KGZ,AS,2004,7,4.41,,,,,95.7,12.29,8.79,,,0.4,-0.21,5.63,,,,,,
Kyrgyzstan,KGZ,AS,2004,8,4.58,,,,,94.9,12.35,9.87,,,0.42,-0.84,5.44,,,,,,
Kyrgyzstan,KGZ,AS,2004,9,4.9,,,,,95.2,12.05,8.63,,,0.52,0.32,5.9,43.1151,,,,,
Kyrgyzstan,KGZ,AS,2004,10,5.08,,,,,95.1,12.94,9.01,,,0.53,-0.11,3.03,42.5192,,,,,
Kyrgyzstan,KGZ,AS,2004,11,5.29,,,,,96.1,13.21,9.05,,,0.56,1.05,2.02,41.4404,,,,,
Kyrgyzstan,KGZ,AS,2004,12,5.81,,,,,97.6,13.57,9.19,,,0.57,1.56,2.74,41.208,,,,,
Kyrgyzstan,KGZ,AS,2005,1,5.66,,,,,98.6,13.83,8.81,,,0.56,1.02,2.82,41.0583,,,,,
Kyrgyzstan,KGZ,AS,2005,2,5.86,,,,,98.6,13.97,8.39,,,0.56,0,2.6,41.1357,,,,,
Kyrgyzstan,KGZ,AS,2005,3,6.01,,,,,98.9,13.68,8.65,,,0.56,0.3,2.81,40.9846,,,,,
Kyrgyzstan,KGZ,AS,2005,4,5.98,,,,,99.5,13.76,8.37,,,0.55,0.61,4.08,41.3142,,,,,
Kyrgyzstan,KGZ,AS,2005,5,6.02,,,,,100.8,13.8,9.37,,,0.54,1.31,5.44,41.0143,,,,,
Kyrgyzstan,KGZ,AS,2005,6,6.21,,,,,101.1,13.84,8.66,,,0.54,0.3,5.42,40.9989,,,,,
Kyrgyzstan,KGZ,AS,2005,7,6.39,,,,,99.8,14.5,8.96,,,0.54,-1.29,4.28,40.9836,,,,,
Kyrgyzstan,KGZ,AS,2005,8,6.62,,,,,99.2,14.96,9.35,,,0.56,-0.6,4.53,40.9584,,,,,
Kyrgyzstan,KGZ,AS,2005,9,6.8,,,,,99.7,15.04,9.31,,,0.57,0.5,4.73,40.8908,,,,,
Kyrgyzstan,KGZ,AS,2005,10,7.04,,,,,100.3,15.59,9.58,,,0.57,0.6,5.47,40.8508,,,,,
Kyrgyzstan,KGZ,AS,2005,11,7.4,,,,,101.2,15.71,9.53,,,0.58,0.9,5.31,40.9121,,,,,
Kyrgyzstan,KGZ,AS,2005,12,7.71,,,,,102.4,15.96,9.78,,,0.61,1.19,4.92,41.2685,,,,,
Kyrgyzstan,KGZ,AS,2006,1,7.74,,,,,103.8,15.77,9.65,,,0.62,1.37,5.27,41.3431,,,,,
Kyrgyzstan,KGZ,AS,2006,2,8,,,,,105.1,15.88,9.72,,,0.61,1.25,6.59,41.421,,,,,
Kyrgyzstan,KGZ,AS,2006,3,8.49,,,,,105.5,16.05,10.28,,,0.61,0.38,6.67,41.3818,,,,,
Kyrgyzstan,KGZ,AS,2006,4,8.92,,,,,106,17.05,10.62,,,0.63,0.47,6.53,41.061,,,,,
Kyrgyzstan,KGZ,AS,2006,5,9.05,,,,,106.2,17.33,10.41,,,0.65,0.19,5.36,40.7302,,,,,
Kyrgyzstan,KGZ,AS,2006,6,9.32,,,,,106.6,18.29,10.11,,,0.65,0.38,5.44,40.3729,,,,,
Kyrgyzstan,KGZ,AS,2006,7,9.45,,,,,105.2,19.53,10.1,,,0.68,-1.31,5.41,39.9736,,,,,
Kyrgyzstan,KGZ,AS,2006,8,9.68,,,,,104.2,20.21,9.8,,,0.7,-0.95,5.04,39.6446,,,,,
Kyrgyzstan,KGZ,AS,2006,9,10.11,,,,,105,20.96,9.98,,,0.72,0.77,5.32,39.3482,,,,,
Kyrgyzstan,KGZ,AS,2006,10,10.4,,,,,105.3,21.75,9.97,,,0.76,0.29,4.99,39.1535,,,,,
Kyrgyzstan,KGZ,AS,2006,11,10.59,,,,,106.1,21.57,9.86,,,0.78,0.76,4.84,38.9402,,,,,
Kyrgyzstan,KGZ,AS,2006,12,11.35,,,,,107.6,24.11,10.36,,,0.82,1.41,5.08,38.5121,,,,,
Kyrgyzstan,KGZ,AS,2007,1,13.85,,,,,109.9,22.87,9.96,,,0.79,2.14,5.88,38.3712,,,,,
Kyrgyzstan,KGZ,AS,2007,2,14.65,,,,,109.7,23.48,10.3,,,0.81,-0.18,4.38,38.5558,,,,,
Kyrgyzstan,KGZ,AS,2007,3,15.66,,,,,109.8,24.02,10.14,,,0.83,0.09,4.08,38.1196,,,,,
Kyrgyzstan,KGZ,AS,2007,4,16.38,,,,,110,25.25,10.36,,,0.86,0.18,3.77,38.0494,,,,,
Kyrgyzstan,KGZ,AS,2007,5,17.32,,,,,111.7,26.22,10.38,,,0.9,1.55,5.18,37.978,,,,,
Kyrgyzstan,KGZ,AS,2007,6,18.44,,,,,112.5,27.81,10.95,,,0.94,0.72,5.53,37.9682,,,,,
Kyrgyzstan,KGZ,AS,2007,7,19.44,,,,,112.4,29.27,10.48,,,0.99,-0.09,6.84,37.894,,,,,
Kyrgyzstan,KGZ,AS,2007,8,20.43,,,,,114.5,30.45,10.3,,,1.03,1.87,9.88,37.8032,,,,,
Kyrgyzstan,KGZ,AS,2007,9,20.6,,,,,118.7,30.12,10.7,,,1.07,3.67,13.05,37.5216,,,,,
Kyrgyzstan,KGZ,AS,2007,10,19.8,,,,,129.3,30.45,10.43,,,1.09,8.93,22.79,35.0551,,,,,
Kyrgyzstan,KGZ,AS,2007,11,19.92,,,,,128.6,31.93,10.53,,,1.18,-0.54,21.21,34.7621,,,,,
Kyrgyzstan,KGZ,AS,2007,12,20.85,,,,,129.3,34.77,10.8,,,1.18,0.54,20.17,34.7914,,,,,
Kyrgyzstan,KGZ,AS,2008,1,20.95,,,,,131.8,32.87,10.56,,,1.16,1.93,19.93,35.6013,,,,,
Kyrgyzstan,KGZ,AS,2008,2,21.57,,,,,134,32.6,11.25,,,1.14,1.67,22.15,36.1303,,,,,
Kyrgyzstan,KGZ,AS,2008,3,22.56,,,,,137.1,33.83,10.76,,,1.14,2.31,24.86,36.4259,,,,,
Kyrgyzstan,KGZ,AS,2008,4,23.59,,,,,138.6,34.98,10.81,,,1.12,1.09,26,36.4493,,,,,
Kyrgyzstan,KGZ,AS,2008,5,24.46,,,,,142.8,35.15,11.49,,,1.16,3.03,27.84,36.4462,,,,,
Kyrgyzstan,KGZ,AS,2008,6,24.7,,,,,148.9,36.94,11.11,,,1.23,4.27,32.36,36.4497,,,,,
Kyrgyzstan,KGZ,AS,2008,7,24.84,,,,,148.8,38.99,11.15,,,1.3,-0.07,32.38,35.4928,,,,,
Kyrgyzstan,KGZ,AS,2008,8,24.65,,,,,148.3,39.81,10.97,,,1.28,-0.34,29.52,34.7916,,,,,
Kyrgyzstan,KGZ,AS,2008,9,25.75,,,,,149.4,39.31,11.51,,,1.28,0.74,25.86,35.662,,,,,
Kyrgyzstan,KGZ,AS,2008,10,26.72,,,,,150.8,39.34,11.37,,,1.13,0.94,16.63,37.4795,,,,,
Kyrgyzstan,KGZ,AS,2008,11,26.49,,,,,153,38.06,11.11,,,1.11,1.46,18.97,39.0442,,,,,
Kyrgyzstan,KGZ,AS,2008,12,25.61,,,,,155.1,38.21,11.19,,,1.22,1.37,19.95,39.4061,,,,,
Kyrgyzstan,KGZ,AS,2009,1,25.15,,,,,155.9,33.72,11.93,,,1.09,0.52,18.29,39.8127,,,,,
Kyrgyzstan,KGZ,AS,2009,2,25.06,,,,,156.4,31.83,11.99,,,1.03,0.32,16.72,41.0767,,,,,
Kyrgyzstan,KGZ,AS,2009,3,25.77,,,,,155.8,31.52,12.13,,,1.05,-0.38,13.64,42.1627,,,,,
Kyrgyzstan,KGZ,AS,2009,4,25.97,,,,,156.4,33.37,12.59,,,1.48,0.39,12.84,42.5749,,,,,
Kyrgyzstan,KGZ,AS,2009,5,25.62,,,,,156.8,34.3,12.12,,,1.54,0.26,9.8,43.0248,,,,,
Kyrgyzstan,KGZ,AS,2009,6,25.45,,,,,156,36.33,12.18,,,1.59,-0.51,4.77,43.0997,,,,,
Kyrgyzstan,KGZ,AS,2009,7,25.25,,,,,153.9,37.8,11.87,,,1.6,-1.35,3.43,43.4184,,,,,
Kyrgyzstan,KGZ,AS,2009,8,25.44,,,,,152.3,37.58,12.76,,,1.7,-1.04,2.7,43.7124,,,,,
Kyrgyzstan,KGZ,AS,2009,9,25.2,,,,,152.5,38,12.89,,,1.5,0.13,2.07,43.9435,,,,,
Kyrgyzstan,KGZ,AS,2009,10,25.56,,,,,152.7,39.5,12.68,,,1.55,0.13,1.26,43.667,,,,,
Kyrgyzstan,KGZ,AS,2009,11,25.45,,,,,153.6,39.78,12.59,,,1.58,0.59,0.39,43.8405,,,,,
Kyrgyzstan,KGZ,AS,2009,12,25.21,,,,,155.1,43.49,12.79,,,1.59,0.98,0,44.0472,,,,,
Kyrgyzstan,KGZ,AS,2010,1,24.91,,,,,157,40.95,11.89,,,1.57,1.23,0.71,44.2046,,,,,
Kyrgyzstan,KGZ,AS,2010,2,25.26,,,,,160.9,41.24,12.2,,,1.56,2.48,2.88,44.6196,,,,,
Kyrgyzstan,KGZ,AS,2010,3,26.02,,,,,162.5,42.77,12.51,,,1.62,0.99,4.3,44.8463,,,,,
Kyrgyzstan,KGZ,AS,2010,4,25.6,,,,,160.9,43.99,12.68,,,1.65,-0.98,2.88,45.2448,,,,,
Kyrgyzstan,KGZ,AS,2010,5,25.47,,,,,161.3,42.89,12.1,,,1.57,0.25,2.87,45.46,,,,,
Kyrgyzstan,KGZ,AS,2010,6,25.76,,,,,161.5,45.92,12.35,,,1.57,0.12,3.53,45.9982,,,,,
Kyrgyzstan,KGZ,AS,2010,7,25.91,,,,,163.1,46.09,12.11,,,1.57,0.99,5.98,46.0868,,,,,
Kyrgyzstan,KGZ,AS,2010,8,26.25,,,,,166.2,48.6,12.47,,,1.6,1.9,9.13,46.6483,,,,,
Kyrgyzstan,KGZ,AS,2010,9,26.47,,,,,171,49.39,12.3,,,1.68,2.89,12.13,46.7397,,,,,
Kyrgyzstan,KGZ,AS,2010,10,26.74,,,,,175.4,50.78,11.94,,,1.73,2.57,14.87,46.7644,,,,,
Kyrgyzstan,KGZ,AS,2010,11,23.85,,,,,180.5,50.18,12.33,,,1.72,2.91,17.51,46.7725,,,,,
Kyrgyzstan,KGZ,AS,2010,12,26.38,,,,,184.9,53.75,12.5,,,1.72,2.44,19.21,46.9761,,,,,
Kyrgyzstan,KGZ,AS,2011,1,26.27,,,,,189.8,50.3,12.32,,,1.7,2.65,20.89,47.2772,,,,,
Kyrgyzstan,KGZ,AS,2011,2,26.85,,,,,192.5,49.91,12.15,,,1.73,1.42,19.64,47.433,,,,,
Kyrgyzstan,KGZ,AS,2011,3,26.75,,,,,196.8,51.16,12.49,,,1.8,2.23,21.11,47.4148,,,,,
Kyrgyzstan,KGZ,AS,2011,4,27.68,,,,,197.6,52.33,11.93,,,1.86,0.41,22.81,47.0648,,,,,
Kyrgyzstan,KGZ,AS,2011,5,27.83,,,,,197,54.01,12.22,,,1.9,-0.3,22.13,46.3059,,,,,
Kyrgyzstan,KGZ,AS,2011,6,28.6,,,,,198.3,56.32,12.04,,,1.91,0.66,22.79,45.24,,,,,
Kyrgyzstan,KGZ,AS,2011,7,28.89,,,,,197.6,59.58,12.04,,,1.96,-0.35,21.15,45.0737,,,,,
Kyrgyzstan,KGZ,AS,2011,8,29.47,,,,,195.3,59.48,12.46,,,1.96,-1.16,17.51,44.6827,,,,,
Kyrgyzstan,KGZ,AS,2011,9,30.05,,,,,193.1,58.72,12.61,,,1.85,-1.13,12.92,45.0039,,,,,
Kyrgyzstan,KGZ,AS,2011,10,30.54,,,,,192.1,59.45,13.15,,,1.9,-0.52,9.52,45.2543,,,,,
Kyrgyzstan,KGZ,AS,2011,11,31.17,,,,,193.5,57.78,13.13,,,1.79,0.73,7.2,46.2146,,,,,
Kyrgyzstan,KGZ,AS,2011,12,31.22,,,,,195.4,62.13,13.48,,,1.83,0.98,5.68,46.6145,,,,,
Kyrgyzstan,KGZ,AS,2012,1,30.94,,,,,197,58.66,12.8,,,1.85,0.82,3.79,46.6759,,,,,
Kyrgyzstan,KGZ,AS,2012,2,31.5,,,,,197.1,60.05,12.6,,,1.9,0.05,2.39,46.7771,,,,,
Kyrgyzstan,KGZ,AS,2012,3,32.69,,,,,197.1,62.56,12.51,,,1.86,0,0.15,46.6793,,,,,
Kyrgyzstan,KGZ,AS,2012,4,33.82,,,,,196.6,63.5,12.55,,,1.88,-0.25,-0.51,46.7944,,,,,
Kyrgyzstan,KGZ,AS,2012,5,34.28,,,,,198,65.1,12.23,,,1.88,0.71,0.51,47.0571,,,,,
Kyrgyzstan,KGZ,AS,2012,6,34.9,,,,,197.2,67.25,12.38,,,1.9,-0.4,-0.55,47.2017,,,,,
Kyrgyzstan,KGZ,AS,2012,7,35.04,,,,,197.5,69.5,12.35,,,1.92,0.15,-0.05,47.1989,,,,,
Kyrgyzstan,KGZ,AS,2012,8,35.66,,,,,199.4,70.24,12.69,,,1.95,0.96,2.1,46.8734,,,,,
