Country,Code,ContinentCode,Year,Month,Private sector credit billion currency units,Business credit billion currency units,Household credit billion currency units,Mortgage credit billion currency units,Consumer credit billion currency units,Consumer Price Index (CPI),Money supply billion currency units,Bank deposit interest rate percent,Mortgage credit interest rate percent,Business credit interest rate percent,Foreign exchange reserves billion currency units,Inflation monthly percent change in the CPI,Inflation annual percent change in the CPI,USD Exchange rate,Policy rate percent,Debt service ratios for private non-financial sector,Household debt to GDP in percent,Stock market index,Long-term interest rate
Kyrgyzstan,KGZ,AS,2012,9,36.14,,,,,201.5,71.1,12.7,,,1.97,1.05,4.35,47.0309,,,,,
Kyrgyzstan,KGZ,AS,2012,10,36.22,,,,,205.3,71.35,12.61,,,1.95,1.89,6.87,47.087,,,,,
Kyrgyzstan,KGZ,AS,2012,11,39.56,,,,,207,71.78,12.37,,,1.97,0.83,6.98,47.2659,,,,,
Kyrgyzstan,KGZ,AS,2012,12,40.11,,,,,210.1,77.46,12.46,,,2.07,1.5,7.52,47.4034,,,,,
Kyrgyzstan,KGZ,AS,2013,1,40.14,,,,,211.8,75.37,12.01,,,2.07,0.81,7.51,47.5157,,,,,
Kyrgyzstan,KGZ,AS,2013,2,41.02,,,,,212.6,74.66,12.16,,,2.06,0.38,7.86,47.7991,,,,,
Kyrgyzstan,KGZ,AS,2013,3,42.54,,,,,212.5,76.37,11.83,,,2.04,-0.05,7.81,47.8222,,,,,
Kyrgyzstan,KGZ,AS,2013,4,44.49,,,,,212.3,78.83,11.95,,,2.02,-0.09,7.99,48.1934,,,,,
Kyrgyzstan,KGZ,AS,2013,5,45.73,,,,,213,79.83,11.93,,,2.05,0.33,7.58,48.1881,,,,,
Kyrgyzstan,KGZ,AS,2013,6,46.96,,,,,213.3,82.21,12.07,,,2.03,0.14,8.16,48.5,,,,,
Kyrgyzstan,KGZ,AS,2013,7,48.22,,,,,212.7,83.92,11.78,,,2.07,-0.28,7.7,48.8544,,,,,
Kyrgyzstan,KGZ,AS,2013,8,49.26,,,,,212.5,84.07,11.72,,,2.08,-0.09,6.57,48.7284,,,,,
Kyrgyzstan,KGZ,AS,2013,9,50.09,,,,,213.5,84.28,11.82,,,2.11,0.47,5.96,48.945,,,,,
Kyrgyzstan,KGZ,AS,2013,10,51.5,,,,,214.3,85.18,11.9,,,2.14,0.37,4.38,48.6911,,,,,
Kyrgyzstan,KGZ,AS,2013,11,52.79,,,,,216,84.65,11.6,,,2.14,0.79,4.35,48.7435,,,,,
Kyrgyzstan,KGZ,AS,2013,12,53.96,,,,,218.4,90.96,12.03,,,2.24,1.11,3.95,49.2542,,,,,
Kyrgyzstan,KGZ,AS,2014,1,54.81,,,,,219.5,88.66,11.95,,,2.21,0.5,3.64,49.8486,,,,,
Kyrgyzstan,KGZ,AS,2014,2,57.83,,,,,221.2,83.87,11.96,,,2.1,0.77,4.05,51.364,,,,,
Kyrgyzstan,KGZ,AS,2014,3,61.34,,,,,225.9,83.65,11.81,,,2.12,2.12,6.31,54.2125,,,,,
Kyrgyzstan,KGZ,AS,2014,4,63.91,,,,,228.1,87.37,11.78,,,2.14,0.97,7.44,54.4178,,,,,
Kyrgyzstan,KGZ,AS,2014,5,65.02,,,,,230.3,89.15,12.17,,,2.18,0.96,8.12,52.6348,,,,,
Kyrgyzstan,KGZ,AS,2014,6,66.76,,,,,231.4,91.44,12.12,,,2.18,0.48,8.49,52.1831,,,,,
Kyrgyzstan,KGZ,AS,2014,7,67.93,,,,,229.4,90.86,11.83,,,2.26,-0.86,7.85,51.8816,,,,,
Kyrgyzstan,KGZ,AS,2014,8,70.19,,,,,228.4,90.31,12.34,,,2.22,-0.44,7.48,52.0908,,,,,
Kyrgyzstan,KGZ,AS,2014,9,72.5,,,,,229.3,86.06,12.09,,,2.12,0.39,7.4,53.9214,,,,,
Kyrgyzstan,KGZ,AS,2014,10,76.11,,,,,233.3,84.43,11.96,,,2.05,1.74,8.87,55.2381,,,,,
Kyrgyzstan,KGZ,AS,2014,11,76.92,,,,,237.9,82.84,12.09,,,1.97,1.97,10.14,57.5622,,,,,
Kyrgyzstan,KGZ,AS,2014,12,78.76,,,,,241.3,82.39,12.18,,,1.96,1.43,10.49,57.9731,,,,,
Kyrgyzstan,KGZ,AS,2015,1,78.46,,,,,244.9,77.25,12.76,,,1.87,1.49,11.57,59.4818,,,,,
Kyrgyzstan,KGZ,AS,2015,2,79.47,,,,,245.5,74.75,13.01,,,1.82,0.24,10.99,60.7672,,,,,
Kyrgyzstan,KGZ,AS,2015,3,88.92,,,,,245,72.59,12.93,,,1.75,-0.2,8.46,62.1602,,,,,
Kyrgyzstan,KGZ,AS,2015,4,87.19,,,,,246.1,76.46,12.78,,,1.88,0.45,7.89,62.8147,,,,,
Kyrgyzstan,KGZ,AS,2015,5,85.82,,,,,244.2,76.54,13.24,,,1.91,-0.77,6.04,58.9058,,,,,
Kyrgyzstan,KGZ,AS,2015,6,88.67,,,,,241.9,78.98,13.18,,,1.96,-0.94,4.54,59.9168,,,,,
Kyrgyzstan,KGZ,AS,2015,7,88.66,,,,,240.8,82.05,13.1,,,1.89,-0.45,4.97,62.1507,,,,,
Kyrgyzstan,KGZ,AS,2015,8,91.4,,,,,241.5,83.04,13.31,,,1.86,0.29,5.74,62.6264,,,,,
Kyrgyzstan,KGZ,AS,2015,9,93.65,,,,,244,81.12,13.48,,,1.8,1.04,6.41,67.7926,,,,,
Kyrgyzstan,KGZ,AS,2015,10,93.05,,,,,244.8,81.98,13.39,,,1.9,0.33,4.93,68.8982,,,,,
Kyrgyzstan,KGZ,AS,2015,11,95.83,,,,,247,76.46,13.49,,,1.74,0.9,3.83,71.5762,,,,,
Kyrgyzstan,KGZ,AS,2015,12,93.95,,,,,249.4,82.27,13.79,,,1.78,0.97,3.36,75.8688,,,,,
Kyrgyzstan,KGZ,AS,2016,1,96.33,,,,,249.3,73.44,14.15,,,1.69,-0.04,1.8,75.8884,,,,,
Kyrgyzstan,KGZ,AS,2016,2,93.18,,,,,248.7,76.48,14.11,,,1.79,-0.24,1.3,74.8675,,,,,
Kyrgyzstan,KGZ,AS,2016,3,91.38,,,,,246.4,85.04,13.78,,,1.95,-0.92,0.57,72.299,,,,,
Kyrgyzstan,KGZ,AS,2016,4,91.76,,,,,244.5,93.01,13.85,,,1.97,-0.77,-0.65,69.068,,,,,
Kyrgyzstan,KGZ,AS,2016,5,90.8,,,,,244.9,92.54,13.46,,,1.96,0.16,0.29,68.3646,,,,,
Kyrgyzstan,KGZ,AS,2016,6,90.43,,,,,245,99.37,13.32,,,2,0.04,1.28,67.8757,,,,,
Kyrgyzstan,KGZ,AS,2016,7,90.78,,,,,243.7,102.35,13.17,,,1.99,-0.53,1.2,67.3001,,,,,
Kyrgyzstan,KGZ,AS,2016,8,92.1,,,,,242.7,104.15,13.32,,,2.03,-0.41,0.5,68.5918,,,,,
Kyrgyzstan,KGZ,AS,2016,9,91.62,,,,,243.3,106.67,13.27,,,1.98,0.25,-0.29,68.7532,,,,,
Kyrgyzstan,KGZ,AS,2016,10,92.08,,,,,244.4,107.33,13.25,,,1.94,0.45,-0.16,68.2677,,,,,
Kyrgyzstan,KGZ,AS,2016,11,92.23,,,,,245.6,106.68,12.81,,,1.92,0.49,-0.57,68.9558,,,,,
Kyrgyzstan,KGZ,AS,2016,12,93.5,,,,,248.2,115.44,12.59,,,1.97,1.06,-0.48,69.2706,,,,,
Kyrgyzstan,KGZ,AS,2017,1,92.06,,,,,250.6,110.92,14.03,,,1.98,0.97,0.52,69.3711,,,,,
Kyrgyzstan,KGZ,AS,2017,2,92.62,,,,,252,111.36,13.94,,,1.99,0.56,1.33,69.2562,,,,,
Kyrgyzstan,KGZ,AS,2017,3,94.55,,,,,253.3,115.84,13.78,,,1.97,0.52,2.8,69.1167,,,,,
Kyrgyzstan,KGZ,AS,2017,4,96.03,,,,,253.7,120.14,13.63,,,1.98,0.16,3.76,68.0604,,,,,
Kyrgyzstan,KGZ,AS,2017,5,99.24,,,,,254.1,124.13,13.33,,,2.06,0.16,3.76,67.7929,,,,,
Kyrgyzstan,KGZ,AS,2017,6,101.95,,,,,255,128.04,13.05,,,2.03,0.35,4.08,68.5063,,,,,
Kyrgyzstan,KGZ,AS,2017,7,103.48,,,,,252.5089,131.38,12.66,,,2.06,-0.98,3.61,69.183,,,,,
Kyrgyzstan,KGZ,AS,2017,8,104.93,,,,,251.9526,134.65,12.41,,,2.09,-0.22,3.81,68.8857,,,,,
Kyrgyzstan,KGZ,AS,2017,9,105.73,,,,,251.219,136.29,12.29,,,2.13,-0.29,3.25,68.5512,,,,,
Kyrgyzstan,KGZ,AS,2017,10,105.97,,,,,253.061,137.53,12.27,,,2.12,0.73,3.54,68.527,,,,,
Kyrgyzstan,KGZ,AS,2017,11,106.74,,,,,255.4422,134.14,12.3,,,2.1,0.94,4.01,69.5316,,,,,
Kyrgyzstan,KGZ,AS,2017,12,108.33,,,,,257.2298,142.86,12.19,,,2.18,0.7,3.64,69.6126,,,,,
Kyrgyzstan,KGZ,AS,2018,1,107.05,,,,,258.6645,136.65,12.15,,,2.22,0.56,3.22,69.011,,,,,
Kyrgyzstan,KGZ,AS,2018,2,107.89,,,,,260.8715,136.64,12.09,,,2.21,0.85,3.52,68.3249,,,,,
Kyrgyzstan,KGZ,AS,2018,3,110.65,,,,,260.1461,140.34,12,,,2.21,-0.28,2.7,68.2055,,,,,
Kyrgyzstan,KGZ,AS,2018,4,114.72,,,,,258.8411,142.54,11.93,,,2.19,-0.5,2.03,68.6492,,,,,
Kyrgyzstan,KGZ,AS,2018,5,116.55,,,,,257.5703,142.6,11.78,,,2.18,-0.49,1.37,68.549,,,,,
Kyrgyzstan,KGZ,AS,2018,6,119.56,,,,,256.956,146.72,11.57,,,2.16,-0.24,0.77,68.309,,,,,
Kyrgyzstan,KGZ,AS,2018,7,121.17,,,,,255.216,148.25,11.39,,,2.16,-0.68,1.07,68.21,,,,,
Kyrgyzstan,KGZ,AS,2018,8,123.41,,,,,254.1384,149.27,11.36,,,2.13,-0.42,0.87,68.7189,,,,,
Kyrgyzstan,KGZ,AS,2018,9,123.88,,,,,254.3256,147.22,11.23,,,2.09,0.07,1.24,69.2077,,,,,
Kyrgyzstan,KGZ,AS,2018,10,125.06,,,,,254.9939,149.89,11.08,,,2.11,0.26,0.76,69.306,,,,,
Kyrgyzstan,KGZ,AS,2018,11,126.04,,,,,256.7364,148.7,11.01,,,2.11,0.68,0.51,69.8344,,,,,
Kyrgyzstan,KGZ,AS,2018,12,127.88,,,,,258.4808,154.58,11.06,,,2.16,0.68,0.49,69.844,,,,,
Kyrgyzstan,KGZ,AS,2019,1,126.41,,,,,259.5846,148.42,11.15,,,2.17,0.43,0.36,69.8333,,,,,
Kyrgyzstan,KGZ,AS,2019,2,127.25,,,,,259.0741,150.12,11.1,,,2.18,-0.2,-0.69,69.7558,,,,,
Kyrgyzstan,KGZ,AS,2019,3,130.63,,,,,258.4224,154.86,11.08,,,2.2,-0.25,-0.66,69.7825,,,,,
Kyrgyzstan,KGZ,AS,2019,4,134.29,,,,,257.4773,158.2,10.98,,,2.18,-0.37,-0.53,69.7963,,,,,
Kyrgyzstan,KGZ,AS,2019,5,136.4,,,,,257.7928,161.71,10.86,,,2.17,0.12,0.09,69.8495,,,,,
Kyrgyzstan,KGZ,AS,2019,6,138.55,,,,,259.3168,166.04,10.71,,,2.24,0.59,0.92,69.7223,,,,,
Kyrgyzstan,KGZ,AS,2019,7,140.04,,,,,259.1649,171.68,10.42,,,2.27,-0.06,1.55,69.6486,,,,,
Kyrgyzstan,KGZ,AS,2019,8,142.25,,,,,259.2513,173.91,10.37,,,2.34,0.03,2.01,69.7987,,,,,
Kyrgyzstan,KGZ,AS,2019,9,142.78,,,,,260.1114,172.9,10.3,,,2.29,0.33,2.27,69.8155,,,,,
Kyrgyzstan,KGZ,AS,2019,10,144.07,,,,,261.5025,175.63,10.29,,,2.29,0.53,2.55,69.8138,,,,,
Kyrgyzstan,KGZ,AS,2019,11,144.2,,,,,263.9406,173.25,10.35,,,2.37,0.93,2.81,69.839,,,,,
Kyrgyzstan,KGZ,AS,2019,12,146.44,,,,,266.3804,181.77,10.75,,,2.42,0.92,3.06,69.8062,,,,,
Kyrgyzstan,KGZ,AS,2020,1,145.78,,,,,267.9758,178.51,10.42,,,2.43,0.6,3.23,69.7065,,,,,
Kyrgyzstan,KGZ,AS,2020,2,145.31,,,,,269.6572,177.55,10.41,,,2.39,0.63,4.08,69.8496,,,,,
Kyrgyzstan,KGZ,AS,2020,3,153.75,,,,,273.6974,179.43,10.45,,,2.36,1.5,5.91,73.6973,,,,,
Kyrgyzstan,KGZ,AS,2020,4,151.26,,,,,279.6312,187.3,10.48,,,2.4,2.17,8.6,81.111,,,,,
Kyrgyzstan,KGZ,AS,2020,5,148.22,,,,,276.2407,194.09,10.45,,,2.56,-1.21,7.16,76.3819,,,,,
Kyrgyzstan,KGZ,AS,2020,6,153.37,,,,,274.4749,204.42,10.38,,,2.64,-0.64,5.85,74.6858,,,,,
Kyrgyzstan,KGZ,AS,2020,7,154.39,,,,,272.9453,210.93,10.4,,,2.75,-0.56,5.32,77.3281,,,,,
Kyrgyzstan,KGZ,AS,2020,8,157.36,,,,,272.2894,214.94,10.47,,,3.07,-0.24,5.03,77.7075,,,,,
Kyrgyzstan,KGZ,AS,2020,9,159.41,,,,,274.1952,215.92,10.5,,,2.99,0.7,5.41,79.0376,,,,,
Kyrgyzstan,KGZ,AS,2020,10,160.81,,,,,280.4441,215.65,10.48,,,2.94,2.28,7.24,80.5027,,,,,
Kyrgyzstan,KGZ,AS,2020,11,162,,,,,285.581,208.03,10.79,,,2.82,1.83,8.2,84.3006,,,,,
Kyrgyzstan,KGZ,AS,2020,12,162.55,,,,,292.2782,219.1,10.45,,,2.81,2.35,9.72,83.3246,,,,,
Kyrgyzstan,KGZ,AS,2021,1,179.04,,,,,295.0846,212.09,11.18,,,2.68,0.96,10.12,84.0952,,,,,
Kyrgyzstan,KGZ,AS,2021,2,183.1,,,,,298.2504,210.56,10.43,,,2.7,1.07,10.6,84.6262,,,,,
Kyrgyzstan,KGZ,AS,2021,3,182.74,,,,,301.4962,213.38,10.45,,,2.59,1.09,10.16,84.7982,,,,,
Kyrgyzstan,KGZ,AS,2021,4,185.86,,,,,304.0724,212.88,10.46,,,2.48,0.85,8.74,84.7944,,,,,
Kyrgyzstan,KGZ,AS,2021,5,187.1,,,,,306.4058,218.16,10.52,,,2.47,0.77,10.92,84.2386,,,,,
Kyrgyzstan,KGZ,AS,2021,6,190.06,,,,,313.4834,229.03,10.66,,,2.55,2.31,14.21,84.5976,,,,,
Kyrgyzstan,KGZ,AS,2021,7,173.29,,,,,312.8502,234.05,10.88,,,2.57,-0.2,14.62,84.6807,,,,,
Kyrgyzstan,KGZ,AS,2021,8,174.39,,,,,310.5379,238.95,10.96,,,2.78,-0.74,14.05,84.7265,,,,,
Kyrgyzstan,KGZ,AS,2021,9,175.64,,,,,311.2983,241.14,11.16,,,3.15,0.24,13.53,84.7956,,,,,
Kyrgyzstan,KGZ,AS,2021,10,176.79,,,,,315.4196,244.51,11.28,,,3.06,1.32,12.47,84.7977,,,,,
Kyrgyzstan,KGZ,AS,2021,11,178.61,,,,,320.7365,241.87,11.29,,,2.86,1.69,12.31,84.7908,,,,,
Kyrgyzstan,KGZ,AS,2021,12,181.78,,,,,324.9521,253.19,11.27,,,2.89,1.31,11.18,84.7929,,,,,
Kyrgyzstan,KGZ,AS,2022,1,179.04,,,,,328.1069,234.77,11.18,,,2.76,0.97,11.19,84.7951,,,,,
Kyrgyzstan,KGZ,AS,2022,2,183.1,,,,,330.5489,231.6,11.1,,,2.82,0.74,10.83,85.1356,,,,,
Kyrgyzstan,KGZ,AS,2022,3,182.74,,,,,341.2671,231.74,11.29,,,2.76,3.24,13.19,99.9358,,,,,
Kyrgyzstan,KGZ,AS,2022,4,185.86,,,,,348.1295,245.84,11.59,,,2.6,2.01,14.49,83.4037,,,,,
Kyrgyzstan,KGZ,AS,2022,5,187.1,,,,,349.2363,249.51,11.99,,,2.59,0.32,13.98,81.4354,,,,,
Kyrgyzstan,KGZ,AS,2022,6,190.06,,,,,354.4538,276.77,12.42,,,2.64,1.49,13.07,79.5039,,,,,
Kyrgyzstan,KGZ,AS,2022,7,193.16,,,,,356.101,289.49,12.7,,,2.55,0.46,13.82,81.0139,,,,,
Kyrgyzstan,KGZ,AS,2022,8,193.18,,,,,358.843,293.21,13.06,,,2.57,0.77,15.56,81.6841,,,,,
Kyrgyzstan,KGZ,AS,2022,9,194.22,,,,,359.4939,302.09,13.18,,,2.5,0.18,15.48,81.2316,,,,,
Kyrgyzstan,KGZ,AS,2022,10,197.63,,,,,364.1104,310.18,13.14,,,2.59,1.28,15.44,82.2079,,,,,
Kyrgyzstan,KGZ,AS,2022,11,199.58,,,,,368.7629,318.97,13.02,,,2.78,1.28,14.97,84.2451,,,,,
Kyrgyzstan,KGZ,AS,2022,12,204.03,,,,,372.7126,335.51,12.85,,,2.8,1.07,14.7,85.1505,,,,,
Kyrgyzstan,KGZ,AS,2023,1,201.14,,,,,378.4239,311.33,12.67,,,2.75,1.53,15.34,85.8555,,,,,
Kyrgyzstan,KGZ,AS,2023,2,204.65,,,,,384.0055,309.51,12.42,,,2.55,1.47,16.17,86.9691,,,,,
Kyrgyzstan,KGZ,AS,2023,3,209.43,,,,,384.6513,316.22,12.21,,,2.49,0.17,12.71,87.4198,,,,,
Kyrgyzstan,KGZ,AS,2023,4,215.59,,,,,385.3361,323.76,12.14,,,2.34,0.18,10.69,87.4795,,,,,
Kyrgyzstan,KGZ,AS,2023,5,222.09,,,,,388.4123,327.45,12.1,,,2.41,0.8,11.22,87.4426,,,,,
Kyrgyzstan,KGZ,AS,2023,6,228.37,,,,,391.2839,336.57,12.23,,,2.44,0.74,10.39,87.4563,,,,,
Kyrgyzstan,KGZ,AS,2023,7,232.98,,,,,392.6083,341.57,12.39,,,2.53,0.34,10.25,87.7103,,,,,
Kyrgyzstan,KGZ,AS,2023,8,239.89,,,,,392.8045,342.51,12.54,,,2.54,0.05,9.46,88.0878,,,,,
Kyrgyzstan,KGZ,AS,2023,9,244.29,,,,,393.8777,350.96,12.66,,,2.63,0.27,9.56,88.5528,,,,,
Kyrgyzstan,KGZ,AS,2023,10,250.5,,,,,397.334,341.2,12.7,,,2.83,0.88,9.12,89.1204,,,,,
Kyrgyzstan,KGZ,AS,2023,11,253.37,,,,,398.3455,344.03,12.86,,,3.06,0.25,8.02,89.1389,,,,,
Kyrgyzstan,KGZ,AS,2023,12,257.78,,,,,399.5594,373.63,13.04,,,3.24,0.3,7.2,89.1572,,,,,
Kyrgyzstan,KGZ,AS,2024,1,256.93,,,,,400.4798,364.18,13.16,,,3.31,0.23,5.83,89.26,,,,,
Kyrgyzstan,KGZ,AS,2024,2,259.12,,,,,403.45,367.26,13.26,,,3.32,0.74,5.06,89.4145,,,,,
Kyrgyzstan,KGZ,AS,2024,3,262.66,,,,,404.5091,380.27,13.42,,,3.49,0.26,5.16,89.4703,,,,,
Kyrgyzstan,KGZ,AS,2024,4,268.9,,,,,405.2183,394.22,13.51,,,3.66,0.18,5.16,89.1487,,,,,
Kyrgyzstan,KGZ,AS,2024,5,275.75,,,,,406.1197,410.33,13.52,,,3.72,0.22,4.56,88.096,,,,,
Kyrgyzstan,KGZ,AS,2024,6,281.05,,,,,409.0441,429.94,13.41,,,3.78,0.72,4.54,87.1482,,,,,
Kyrgyzstan,KGZ,AS,2024,7,286.86,,,,,408.7708,446.99,13.27,,,3.99,-0.07,4.12,85.0386,,,,,
Kyrgyzstan,KGZ,AS,2024,8,294.96,,,,,407.7079,445.38,13.19,,,4.13,-0.26,3.79,85.1517,,,,,
Kyrgyzstan,KGZ,AS,2024,9,300.76,,,,,413.266,451.26,13.09,,,4.3,1.36,4.92,84.3438,,,,,
Kyrgyzstan,KGZ,AS,2024,10,314.38,,,,,416.2578,465.07,13.02,,,4.93,0.72,4.76,85.331,,,,,
Kyrgyzstan,KGZ,AS,2024,11,324.89,,,,,421.1715,452.55,,,,,1.18,5.73,86.3713,,,,,
Kyrgyzstan,KGZ,AS,2024,12,340.73,,,,,424.8637,489.41,,,,,0.88,6.33,86.9183,,,,,
Kyrgyzstan,KGZ,AS,2025,1,347.18,,,,,427.4978,,,,,,0.62,6.75,87.2752,,,,,
Kyrgyzstan,KGZ,AS,2025,2,,,,,,431.6759,,,,,,0.98,7,87.45,,,,,
Kyrgyzstan,KGZ,AS,2025,3,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,2025,4,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,2025,5,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,2025,6,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,2025,7,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,2025,8,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,2025,9,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,2025,10,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,2025,11,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,2025,12,,,,,,,,,,,,,,,,,,,
Russia,RUS,EU,1995,1,,,,,,,,,,,4.63,,,,,,,,
Russia,RUS,EU,1995,2,,,,,,,,,,,5.55,,,,,,,,
Russia,RUS,EU,1995,3,,,,,,,,,,,6.55,,,,,,,,
Russia,RUS,EU,1995,4,,,,,,,,,,,8.23,,,,,,,,
Russia,RUS,EU,1995,5,,,,,,,,,,,11.07,,,,,,,,
Russia,RUS,EU,1995,6,,,,,,,,,,,12.41,,,,,,,,
Russia,RUS,EU,1995,7,,,,,,,,,,,12.67,,,,,,,,
Russia,RUS,EU,1995,8,,,,,,,,,,,13.33,,,,,,,,
Russia,RUS,EU,1995,9,,,,,,,,,,,13.62,,,,,,,,
Russia,RUS,EU,1995,10,,,,,,,,,,,15.26,,,,,,,,
Russia,RUS,EU,1995,11,,,,,,,,,,,15.02,,,,,,,,
Russia,RUS,EU,1995,12,,,,,,,,,,,17.21,,,,,,,,
Russia,RUS,EU,1996,1,,,,,,,,,,,14.74,,,,,,,,
Russia,RUS,EU,1996,2,,,,,,,,,,,15.59,,,,,,,,
Russia,RUS,EU,1996,3,,,,,,,,,,,19.25,,,,,,,,
Russia,RUS,EU,1996,4,,,,,,,,,,,17.22,,,,,,,,
Russia,RUS,EU,1996,5,,,,,,,,,,,15.07,,,,,,,,
Russia,RUS,EU,1996,6,,,,,,,,,,,15.88,,,,,,,,
Russia,RUS,EU,1996,7,,,,,,,,,,,15.67,,,,,,,,
Russia,RUS,EU,1996,8,,,,,,,,,,,15.51,,,,,,,,
Russia,RUS,EU,1996,9,,,,,,,,,,,15.08,,,,,,,,
Russia,RUS,EU,1996,10,,,,,,,,,,,14.29,,,,,,,,
Russia,RUS,EU,1996,11,,,,,,,,,,,15.52,,,,,,,,
Russia,RUS,EU,1996,12,,,,,,,,,,,15.32,,,,,,,,
Russia,RUS,EU,1997,1,,,,,,,,,,,13.99,,,,,,,,
Russia,RUS,EU,1997,2,,,,,,,,,,,15.21,,,,,,,,
Russia,RUS,EU,1997,3,,,,,,,,,,,16.5,,,,,,,,
Russia,RUS,EU,1997,4,,,,,,,,,,,18.18,,,,,,,,
Russia,RUS,EU,1997,5,,,,,,,,,,,20.02,,,,,,,,
Russia,RUS,EU,1997,6,,,,,,,,,,,24.55,,,,,,,,
Russia,RUS,EU,1997,7,,,,,,,,,,,24.46,,,,,,,,
Russia,RUS,EU,1997,8,,,,,,,,,,,23.92,,,,,,,,
Russia,RUS,EU,1997,9,,,,,,,,,,,23.11,,,,,,,5.92,
Russia,RUS,EU,1997,10,,,,,,,,,,,22.92,,,,,,,6.21,
Russia,RUS,EU,1997,11,,,,,,,,,,,16.81,,,,,,,4.49,
Russia,RUS,EU,1997,12,,,,,,,,,,,17.78,,,,,,,4.59,
Russia,RUS,EU,1998,1,,,,,,,,,,,15.38,,,,,,,4.19,
Russia,RUS,EU,1998,2,,,,,,,,,,,15.03,,,,,,,4.19,
Russia,RUS,EU,1998,3,,,,,,,,,,,16.86,,,,,,0.6,4.66,
Russia,RUS,EU,1998,4,,,,,,,,,,,15.95,,,,,,,4.47,
Russia,RUS,EU,1998,5,,,,,,,,,,,14.63,,,,,,,3.58,
Russia,RUS,EU,1998,6,,,,,,,,,,,16.17,,,,,,0.6,2.56,
Russia,RUS,EU,1998,7,,,,,,,,,,,18.41,,,,,,,2.31,
Russia,RUS,EU,1998,8,,,,,,,,,,,12.46,,,,,,,1.51,
Russia,RUS,EU,1998,9,,,,,,,,,,,12.71,,,,,,0.8,1.64,
Russia,RUS,EU,1998,10,,,,,,,,,,,13.57,,,,,,,1.54,
Russia,RUS,EU,1998,11,,,,,,,,,,,12.48,,,,,,,2.45,
Russia,RUS,EU,1998,12,,,,,,,,,,,12.22,,,,,,0.6,2.76,
Russia,RUS,EU,1999,1,,,,,,,,,,,11.62,,,,60,,,2.69,96.34
Russia,RUS,EU,1999,2,,,,,,,,,,,11.44,,,,60,,,3.26,99.47
Russia,RUS,EU,1999,3,,,,,,,,,,,10.77,,,,60,,0.6,4.71,98.67
Russia,RUS,EU,1999,4,,,,,,,,,,,11.17,,,,60,,,5.17,110.55
Russia,RUS,EU,1999,5,,,,,,,,,,,11.94,,,,60,,,6.34,96.75
Russia,RUS,EU,1999,6,,,,,,,,,,,12.15,,,,55,,0.5,7.27,64.73
Russia,RUS,EU,1999,7,,,,,,,,,,,11.92,,,,55,,,8.07,68.36
Russia,RUS,EU,1999,8,,,,,,,,,,,11.23,,,,55,,,6.46,75.88
Russia,RUS,EU,1999,9,,,,,,,,,,,11.21,,,,55,,0.5,5.83,83.74
Russia,RUS,EU,1999,10,,,,,,,,,,,11.75,,,,55,,,5.85,86.87
Russia,RUS,EU,1999,11,,,,,,,,,,,11.5,,,,55,,,7.15,89.06
Russia,RUS,EU,1999,12,,,,,,,,,,,12.46,,,,55,,0.5,7.91,78.09
Russia,RUS,EU,2000,1,,,,,,,,,,,12.95,,,,45,,,11.68,58.57
Russia,RUS,EU,2000,2,,,,,,,,,,,13.66,,,,45,,,11.94,51.06
Russia,RUS,EU,2000,3,,,,,,,,,,,15.53,,,,33,7.6,0.4,14.15,40.95
Russia,RUS,EU,2000,4,,,,,,,,,,,17.09,,,,33,,,14.27,41.12
Russia,RUS,EU,2000,5,,,,,,,,,,,19.57,,,,33,,,13.76,41.05
Russia,RUS,EU,2000,6,,,,,,,,,,,21,,,,33,6,0.4,12.79,37.82
