Period,Lipetsk Oblast,Oryol Oblast,Ryazan Oblast,Smolensk Oblast,Tambov Oblast,Tula Oblast,Tver Oblast,Vladimir Oblast,Voronezh Oblast,Yaroslavl Oblast,Arkhangel'skaya Oblast',Kaliningrad Oblast,Komi Republic,Murmansk Oblast,Novgorod Oblast,Pskov Oblast,Republic of Karelia,Vologda Oblast,Astrakhan Oblast,Krasnodar Krai,Republic of Adygea,Republic of Kalmykia,Rostov Oblast,Volgograd Oblast,Chuvash Republic,Kirov Oblast,Mari El Republic,Nizhny Novgorod Oblast',Orenburg Oblast,Belgorod Oblast,Penza Oblast,Perm Krai,Republic of Bashkortostan,Republic of Mordovia,Republic of Tatarstan,Samara Oblast,Saratov Oblast,Udmurt Republic,Ulyanovsk Oblast,Altai Krai,Moscow Oblast,Bryansk Oblast,Altai Republic,Irkutsk Oblast,Kemerovo Oblast,Krasnoyarsk Krai,Novosibirsk Oblast,Omsk Oblast,Republic of Khakassia,Tomsk District,Tyva Republic,Amur Oblast,Moscow,Ivanovo Oblast,Jewish Autonomous Oblast,Kamchatka Krai,Khabarovsk Krai,Magadan District,Primorsky Krai,Republic of Buryatia,Sakha (Yakutia) Republic,Sakhalin District,Zabaykalsky Krai,Chechen Republic,Leningrad Oblast,Kaluga Oblast,Karachay-Cherkess Republic,Republic of Dagestan,Republic of Ingushetia,Republic of North Ossetia — Alania,Stavropol Krai,The Kabardino-Balkar Republic,Chelyabinsk Oblast,Khanty-Mansi Autonomous Okrug — Yugra,Kurgan Oblast,Sverdlovsk Oblast,Saint Petersburg,Kostroma Oblast,Tyumen Oblast,Yamalo-Nenets Autonomous Okrug,Kursk Oblast
2017-12-01,398458,294294,387402,291552,266251,522549,390183,469979,834829,483608,346205,239875,294456,282333,225359,163760,176139,403024,234120,1859324,60469,46971,1294636,684516,424634,406618,168507,1887795,575983,508010,406141,866207,1343610,226823,1187347,1193370,748304,527641,365143,668866,3735871,398630,46346,726685,728104,949992,1396701,651355,155111,245082,38707,146672,8881759,289669,22247,58105,466855,22922,412050,175562,121407,96872,242493,73308,440655,386727,57029,265297,21312,105413,769436,88552,1132324,549380,237247,2067082,3594596,199685,609979,165937,365445
2018-01-01,381395,283101,370375,284775,258956,502571,367809,435659,798697,462508,328274,232235,290639,269340,213475,155360,171466,385519,226665,1809309,60744,43234,1325177,659569,393706,380626,157287,1775043,558454,490865,377251,839157,1288115,220989,1111695,1234620,692786,497772,338214,679687,3433368,391057,44301,746071,728208,955250,1419636,629096,160099,252968,36978,142954,8550678,274587,20398,56303,454416,22795,392951,168411,125524,99450,241422,77248,421149,370116,55544,274929,21980,97661,729678,98317,1116993,554786,233066,2026403,3426378,191758,599865,172764,361067
2018-02-01,410643,294915,395234,305202,271116,535413,402930,471496,845787,505515,351802,251412,308942,290023,227892,170198,178887,420901,237741,1882171,66623,47216,1445304,714448,408962,400616,164700,1808010,582802,535236,398465,886093,1357800,234736,1220825,1488275,750476,526865,353977,696187,3821624,403747,47326,775919,745916,990046,1546691,643699,162406,258488,44451,149703,9383803,304616,23204,60480,496831,25535,409458,181177,136571,102344,257291,72617,453607,407595,59677,288992,24715,107476,776002,105418,1165801,582412,247041,2160607,3607871,209016,631804,181842,385226
2018-03-01,369411,287908,346952,277955,247636,495707,358932,429142,738041,448722,344529,218549,297802,279304,199923,154848,167366,402039,206038,1599334,55819,37916,1162720,614610,372309,385729,152303,1581703,506071,471530,353464,821289,1235147,207496,1128598,1372270,669777,497312,328416,625229,3330569,355923,46535,712103,739278,902484,1399175,592614,150197,254453,41085,139641,8249904,274477,22282,59033,431229,24967,383823,165964,125418,98009,230216,73433,413361,357806,54089,252344,20895,94787,651220,95555,1076441,534417,231655,1995164,3302675,194749,589227,174618,357365
2018-04-01,387392,301836,343948,283461,247031,500287,357045,424207,773063,450334,331451,237321,308711,270773,183802,158931,156835,384890,232577,1748229,65803,49139,1278350,628447,362164,390955,153919,1527578,543275,531763,363136,815729,1232906,205954,1221715,1359340,712341,503535,334804,681478,3198617,370725,54109,738557,777782,960801,1500648,643722,161206,269287,43233,139640,8260365,275900,21200,60625,436931,24405,392209,179550,137422,100375,243389,80951,400230,351062,62098,312122,22336,112847,729162,105719,1119869,578846,242296,1931973,3254565,191253,612070,177824,360435
2018-05-01,289453,213987,287313,229014,196573,395697,287759,342502,605779,365479,244810,194197,221255,210660,166711,127573,119813,283023,180945,1397273,50486,37824,997922,498716,289531,311376,116852,1107832,402345,386645,279830,638209,883745,141544,846319,1062567,560091,388056,249961,443664,2795202,286264,35441,523403,524515,655657,995856,455422,112363,194308,28673,103634,6822510,213809,17317,44774,356849,17426,321696,129998,96849,78351,167635,41426,367198,294256,46640,162927,12798,88144,547809,75856,855578,388967,178840,1517255,2849702,151697,459107,113717,274905
2018-06-01,279435,198735,275996,211862,189038,368886,271872,322582,576076,346747,210192,186853,183130,183098,157413,113481,105896,264060,160005,1452997,50228,32266,975723,492944,256175,289344,96441,1009627,354968,362856,271912,567155,770991,138216,720344,1083309,527606,355183,233735,410203,2811337,288535,27795,472283,493981,617352,912604,415245,109423,160687,20478,94019,6819777,199827,15675,39887,307210,16337,311469,103522,77107,68168,141264,33502,358453,286070,39604,140025,13729,74078,536287,69059,759554,345291,158783,1395298,2705505,138192,418191,104182,263472
2018-07-01,279309,194843,280296,217764,183548,370217,306064,330179,595407,350585,229105,197725,191862,203487,163795,120975,116627,279460,159473,1505378,50508,33287,1018568,485740,255746,290179,97818,1116735,378750,363752,267573,595707,847116,142626,725927,1095925,535233,357578,241322,437884,2882715,276931,29610,486628,515259,655460,965033,443346,110687,169447,22042,91692,6874907,210820,16927,40952,314816,16216,301493,102177,76451,67815,152507,39853,385512,294039,37499,150574,14926,75688,561375,68178,813303,362499,169917,1443537,2821046,141803,419863,109987,257710
2018-08-01,372454,281577,369238,282471,251502,514681,366261,424119,783411,463024,317762,249562,276702,273839,198228,162049,158677,374653,216939,2187888,66669,43947,1313381,634252,360149,388937,146386,1510873,569357,507345,364801,773884,1207090,221833,1174461,1452211,719323,490560,329430,589177,3550895,383486,44043,680854,688029,897659,1315291,554976,149494,236836,38356,130887,8586098,273530,20323,56136,395204,22445,367861,159242,115975,87866,228729,82178,445939,372623,55400,291068,25299,107995,773131,97699,1050112,531351,218554,1819553,3336919,192207,560438,169298,363105
2018-09-01,460602,352399,450137,348260,311035,649300,438978,529604,960331,578686,414250,286332,369693,335983,244290,203107,203808,469059,265231,2123767,76996,54604,1587273,754765,445040,467069,191129,1983859,671952,614728,450376,978976,1535534,273118,1430681,1791200,860615,603505,405513,797523,4340679,468116,63719,885545,884229,1149149,1694653,709751,186723,307989,54673,175524,10245611,338004,26849,69782,506526,31129,447957,218854,169046,113505,308089,98695,542457,445142,66852,396535,31544,129751,904239,125080,1311567,684212,282775,2453379,4036798,243013,701547,226944,446507
2018-10-01,392582,308412,402134,305332,284686,573000,393900,472184,850676,490722,351533,246608,316864,295326,216210,176122,179659,408153,226869,1979587,73051,47716,1372319,675486,401976,414811,166180,1673146,594239,542789,397831,843061,1409338,232220,1228495,1621929,789691,534315,357380,744722,3927357,403187,55982,782726,756634,1013764,1456571,635515,162560,271779,51985,162043,9556175,300493,23966,65960,464525,28133,421982,194460,165070,104524,278418,84556,499573,392934,62164,306871,30434,111605,825313,115432,1165257,598188,253539,2238131,3608527,216969,628733,196861,390991
2018-11-01,384637,301430,388637,292231,285963,560466,376580,458030,836440,499048,352968,257388,314734,283808,205672,169752,187191,412150,255976,1953848,73748,49498,1495490,674001,415517,419027,173477,1712868,630186,563169,413118,810053,1359213,256703,1275744,1605496,785950,525958,354364,683244,3728901,389466,55367,746268,736356,937127,1518590,616672,157257,264553,50291,153434,9519855,304938,24992,64999,434890,26797,469937,189400,157029,99359,259835,102493,477575,382348,45943,401624,34033,124913,825432,124128,1103124,586385,240743,2215864,3561820,211265,601661,196479,389409
2018-12-01,422249,324746,422063,322261,317296,604560,424983,516276,892275,526780,366201,271771,323616,302359,232633,184801,202742,432343,248938,2094459,80156,50670,1616009,727908,447175,437678,174868,1980811,604813,563095,427129,880347,1409020,243094,1275388,1720963,822792,559250,376372,724699,4391567,444271,50937,798333,780650,989829,1729503,655110,162722,263896,45692,158710,10664959,329945,26009,68310,420597,27575,596136,182652,147899,104014,272557,92525,558776,427951,45979,320771,27853,119722,875471,115996,1174196,584714,265634,2447817,3812470,222451,634442,189609,410273
2019-01-01,415929,318234,399364,308445,311629,591413,405217,478743,860435,504375,346821,264651,312786,275607,223219,178808,192087,405665,245570,1978322,81076,45706,1536530,701872,417432,406892,169540,1869528,598525,546085,409047,849730,1382011,229647,1203226,1628115,792129,520666,341106,730666,4213826,435887,55025,796774,781441,978888,1547187,632807,161027,256755,48315,159272,9343957,301531,27662,66747,406664,28544,571681,186287,162417,105612,275480,91649,537316,410019,44935,320092,28907,112965,826279,117222,1174116,618467,257453,2288107,3548325,213334,643893,204765,413244
2019-02-01,426111,325536,415260,321456,319293,605463,412967,503500,884758,525142,362137,273037,325309,288269,229390,180259,199048,428505,249922,2041286,86806,48980,1583833,705739,416186,429985,176679,1944666,626135,558899,428349,863440,1428182,242830,1319040,1674002,855014,534987,384554,734490,4438586,435932,59725,847328,816764,997611,1616967,657005,168783,266089,54150,169087,9392089,315089,28296,66068,411334,30190,604684,200221,172632,110080,301339,92180,566623,422590,50306,342414,31569,124954,869069,117259,1206195,613627,260692,2408286,3661657,221159,650179,211615,414038
2019-03-01,390852,314187,387663,297787,282193,569813,389647,470677,801973,503777,376475,262167,331674,284348,210519,173190,197257,424546,239834,1997244,84064,46229,1460454,652823,394363,421274,168708,1885349,589007,515542,392105,863384,1340722,214108,1291436,1592014,792472,536601,358493,704178,4055955,400924,55881,840780,813407,1029898,1595708,637680,170295,284411,53710,165951,8891498,302257,27941,66947,394026,30001,599734,192355,160064,111287,288620,86320,532905,388105,50647,316444,29405,117263,823581,116735,1221431,607818,250538,2367915,3520114,217767,639678,209637,388999
2019-04-01,396547,319899,360421,293242,269105,559989,372551,445860,787243,504775,346239,277126,316329,271431,202465,179318,193652,398642,248722,1957194,84343,54348,1508740,630140,380937,400375,165648,1828827,598142,545305,376187,782168,1289809,224600,1308936,1565498,770598,517887,349405,671114,3810240,399517,55768,778766,773360,964270,1630442,614559,163368,271001,52763,142862,8809606,294617,23325,61187,371611,26239,618257,187410,160030,100477,278493,85500,546005,374580,47407,351478,25510,119905,820053,118208,1125245,598599,238432,2272603,3526314,203850,597417,189398,376403
2019-05-01,307676,225683,310008,230736,215543,426394,311208,369936,628979,401527,253582,209105,230328,216228,165932,129894,135334,300228,188759,1631985,69164,41462,1208084,526626,295411,310525,120514,1348336,430743,396550,302673,649046,942395,160520,909528,1229367,601330,401956,261657,481378,3328845,310483,37466,587773,595731,707545,1171376,491907,120335,199565,36857,102045,7403664,226365,19025,46351,298610,20072,501961,137776,109902,83362,196207,46031,485205,308440,39195,178619,16459,97961,640634,85904,900659,407709,181864,1859880,2955142,158698,471286,129407,290200
2019-06-01,294282,210289,302843,225014,205893,385285,297851,350770,607632,381713,224488,202474,193454,195190,168459,121461,121049,279278,163026,1627818,64892,34377,1133619,490793,274972,297083,104858,1232740,383972,373408,289734,592107,852873,140902,788067,1152503,563617,375030,241075,427821,3204380,301998,28247,511135,527578,641388,1026839,423834,111282,160409,25401,94420,7167695,217204,18650,39531,257598,17828,448602,104878,90125,68912,164751,36635,472130,297620,33763,154150,16068,81084,616581,77844,790490,351804,163662,1684784,2790007,149450,423642,117431,279498
2019-07-01,284112,209619,301174,216247,201412,383347,290411,345569,582380,376001,225408,194208,193504,202735,166835,122091,121537,282298,161321,1605535,63871,34613,1103676,477640,262687,299979,104280,1186716,393780,362383,283656,581374,874658,142397,799135,1149423,561020,373648,239972,431904,3115053,292375,27840,513271,529153,646479,1045467,424599,110363,156791,28378,93055,6685479,207125,17402,40109,239824,17128,452380,101311,88191,67166,167193,44212,461208,296823,31255,160419,17309,79652,596765,72856,806017,359725,167655,1674489,2730428,142231,414481,121583,266604
2019-08-01,357557,290744,379076,269992,260625,500244,357722,429858,775062,470524,299475,239448,264705,266428,195255,158332,156819,354921,220485,1939481,79185,46339,1370427,593242,348765,396356,144909,1508448,550307,487802,360681,727330,1239764,214502,1186548,1460638,728017,484971,320412,580167,3729153,385022,44163,712863,707260,881509,1336968,564052,141705,212720,44249,139207,8413302,269059,22963,56018,321079,24038,494762,150827,131195,90156,254526,87213,523138,366318,41869,304970,28542,104339,794212,102654,1054313,521289,210294,2066933,3264336,183445,531082,179926,356121
2019-09-01,441786,338990,447018,329129,318701,616332,426888,528824,968368,565727,386724,280433,336120,317528,237950,189016,192782,442932,268194,2197180,91607,50779,1502287,693693,436253,470709,187866,1864880,639997,572738,455858,891884,1528122,258308,1475266,1635706,871915,586812,399124,779910,4361738,460502,62282,891547,875257,1114469,1585946,709970,181552,271088,62584,178593,9717300,328109,29206,72491,407921,32760,540842,211073,188061,117480,344102,101734,617785,434973,59136,394732,36066,121592,878180,132332,1292654,658994,268635,2403021,3792415,227763,653289,234419,422829
2019-10-01,421933,325292,436332,317499,319306,605063,425269,512691,944685,529941,356061,264929,321191,307357,232848,187388,187865,429429,252426,2132180,90676,50216,1467214,686764,424006,455800,180551,1876658,641009,566481,439154,843346,1549243,254701,1368972,1549625,847089,561989,388568,791260,4231698,436344,63401,870494,840463,1067826,1477081,686015,174514,269490,71278,175053,9128254,318227,30767,73248,414110,31336,537883,191134,183735,112708,331673,93393,607013,418402,56700,334288,31986,119688,868172,136634,1276941,634202,260385,2320581,3693625,225801,649777,217818,409152
2019-11-01,449725,347462,459880,331493,335390,631791,437873,548368,996667,571170,392080,292670,344191,322829,239742,194396,203383,464690,306343,2353485,102876,56365,1638763,763051,471984,461953,197408,2052174,731860,635016,497290,884779,1608366,305740,1578642,1572984,867559,594584,421821,831517,4308599,466887,69906,928998,917540,1146348,1622359,717618,193823,295454,74233,192920,9682412,349939,33846,78102,428942,33703,567370,227711,194593,122004,352573,119590,636413,443856,63769,467310,42867,145301,976808,148725,1358249,676163,276671,2427860,3865132,248689,684717,237233,442518
2019-12-01,486799,364860,503041,362689,356239,659570,494166,607515,1049035,593611,402251,309564,341193,342724,273585,212331,209809,477981,280991,2464069,105456,57348,1710502,819850,529529,507460,217802,2008293,724697,631993,537814,942045,1647511,293263,1574403,1672595,920132,654841,456580,843654,4897278,498303,68816,961824,972870,1187643,1681512,729469,206122,296329,63104,202214,10382595,365618,36778,79569,467982,34993,609562,217145,192363,132098,355418,98392,736590,489062,62979,372307,34856,133437,994515,143333,1413257,694181,298134,2569125,4194154,250406,736540,234865,466476
2020-01-01,455253,339129,477451,333272,333366,617331,454858,570052,1003405,554447,382128,293341,332606,317267,254990,193211,194561,454348,290815,2326363,103019,50790,1589682,766187,496001,465533,199327,1876459,699293,593571,496083,874218,1514724,278341,1392409,1516978,883939,602873,426339,839529,4471808,477495,65158,939819,952024,1154869,1616656,695873,200290,282400,56330,203799,9627589,326476,34817,75307,441645,33630,590487,202045,192521,128905,363151,109990,660605,444516,55664,376985,33339,123404,936094,135004,1307148,685950,284843,2424422,3927536,237634,691234,240960,447717
2020-02-01,472847,354548,486218,350815,332284,644210,466090,600987,983775,571134,410983,301262,364153,329826,258037,205634,204210,481870,280180,2315184,102482,53150,1598371,776328,491810,487038,209771,1900424,714515,604744,487914,935198,1570033,291741,1460542,1617981,926039,631275,452599,873502,4752993,474408,70434,972180,1000873,1202438,1644840,739195,206813,300838,65026,217355,9970893,363220,36935,78960,453751,36035,628434,228264,195425,133132,388684,102541,700136,451956,57045,378662,34589,126461,955121,129961,1365437,698608,296052,2509923,3986059,245791,727741,242642,451729
2020-03-01,589729,433730,683206,487360,448844,794323,635630,858965,1302728,765527,579045,384063,438304,457869,306286,273105,289208,626568,377253,2874207,133585,74883,2105313,1084989,647548,646562,282610,2588121,949912,873672,645517,1302612,2280377,398614,1999321,2163470,1185605,850003,617138,1033484,6031784,636473,94022,1255778,1236526,1515960,2020472,950945,241808,450016,86031,281911,10953040,474486,49367,106871,566313,47354,767798,348686,267832,171337,501052,106693,896712,582880,69591,513208,37974,159131,1127052,231374,1732593,916997,384560,3159879,4664396,369549,884184,288711,560749
2020-04-01,585029,356339,640928,442340,385569,708887,605062,787594,1123879,684663,492042,347846,426700,403841,269670,268392,233885,560927,381823,2696707,138959,80229,2158882,893820,565031,663662,247722,2145851,1031051,970158,613426,1023247,2138360,335458,1828116,1933143,1167949,728247,442493,1041512,5829025,671983,65417,1119171,1211597,1432401,2003399,865500,243278,362462,95531,285376,10032955,440142,43511,90887,509235,41458,674920,273746,291954,164891,513093,82587,848984,545240,62742,461124,37576,136772,1268524,147949,1570890,863853,349302,2667816,4063993,329884,714606,285229,581368
2020-05-01,426587,314440,458484,322887,298093,583507,431426,565447,917059,516849,335515,292388,299826,290080,226333,183228,175545,419041,281001,2266262,101721,59058,1549602,757617,428891,454943,188524,1676944,637139,558510,472664,880502,1380971,255052,1277803,1310544,819746,570827,398685,671962,4733890,443357,60852,801206,898033,1011627,1312515,682704,180003,281119,68393,182696,9198881,329512,32872,66038,421535,30828,562543,199603,170242,122169,293431,105545,727468,450856,56152,306244,35810,122541,908662,131629,1241253,610380,242238,2140055,3711236,231778,639179,191841,412215
2020-06-01,357493,263767,389203,283910,259934,489579,374776,458249,780698,450996,260873,256904,224431,236323,203655,156812,144614,344794,213803,2017902,84389,44219,1308927,624923,333733,352759,135800,1548498,508379,452914,389318,698341,1162679,188780,1001945,1015792,666030,430450,309569,550638,3914622,378906,44078,640553,711054,799464,1109668,530404,145032,210583,40223,141407,8133299,274935,26180,53122,324032,25855,457769,144188,121246,96534,229140,61530,649676,384461,46762,249725,33556,106908,768960,105607,983146,469973,194262,1773713,3404137,187822,512445,156878,352752
2020-07-01,330959,239281,368638,260423,243400,465849,350877,430908,699032,415288,249789,240931,214797,224998,194357,149292,134467,335513,201359,1936417,79610,42847,1279308,584170,322691,328939,129270,1472357,506080,426768,356403,684760,1146437,180244,1090593,995746,653850,419447,305528,533871,3593796,339152,41804,648295,694942,813142,1106637,496197,146044,206234,40382,136643,7472166,256562,24353,55578,301710,25188,438234,137431,115128,94545,221978,65229,570714,365965,42425,238330,27399,101108,722479,96777,954544,462543,196142,1783818,3121243,169666,487741,151445,324386
2020-08-01,415444,327317,467360,323569,313671,593563,432527,544176,957342,516958,351053,297073,294157,305422,240177,190378,185057,444373,270522,2355219,98905,56771,1551844,743680,446332,437589,193124,1816450,720966,575337,466583,852296,1656608,269109,1578433,1244370,859617,567621,423946,775016,4316489,442714,66804,911658,931680,1126534,1503029,673360,188117,288281,62932,218830,9154940,317790,32087,72248,384282,32103,564415,215069,189780,124052,345688,112000,623803,439955,54272,387073,39386,126167,962083,131885,1263736,671789,264544,2405979,3709257,222986,635058,217688,433696
2020-09-01,479369,385529,544153,385961,369460,670189,500455,649595,1082892,617858,442245,337886,374755,362797,273971,222136,256937,506869,324808,2653396,110535,68322,1743880,841599,557646,511194,239184,2000452,827424,662410,581027,1006892,1791828,331293,1931710,1411022,982156,654193,467535,978439,4835053,503692,85307,1093451,1148269,1439334,1735983,819215,237464,348815,86125,266066,10144199,366399,38855,89823,466228,42053,644761,301714,274167,146762,457288,132486,714387,507489,68031,512444,44829,140885,1095232,148423,1466603,829046,302675,2787525,4178226,271728,766348,279424,499916
2020-10-01,506827,397513,548559,389644,395538,664156,533084,683899,1224227,598163,453816,333416,379058,351815,271429,234326,243082,532694,324249,2604114,114929,68790,1752781,937162,558825,603445,259381,2296700,991076,714643,556279,1098147,2087684,327037,1842720,1590194,1098639,699886,522060,998916,4994545,561773,90414,1189004,1248045,1518698,1778671,833140,250783,389935,95856,275773,10801876,370620,42462,96735,509012,43396,592135,275846,288122,158666,497487,128066,735326,494217,64686,440190,40383,132439,1052648,167682,1547596,893663,418996,2973484,4235490,279681,857152,305138,570709
2020-11-01,524712,417572,569785,389342,405073,660911,524256,685634,1199741,630586,473399,350284,389592,364769,262997,221300,265159,537048,376229,2635325,132649,74013,1894805,932510,616049,562405,259164,2366647,964352,785882,610728,1153357,2068328,373379,1973641,1617151,1139815,734277,543795,1074321,4907379,524906,94997,1195746,1166899,1525726,1924230,856735,262837,362612,107695,281027,11005145,407745,40726,93699,512137,43677,652492,300383,286503,155956,497905,133655,702229,507271,84163,538951,47648,164252,1202420,192939,1703572,904843,373994,3025330,4349066,294583,862393,298558,620980
2020-12-01,535713,413610,587784,396629,412527,694711,552829,730181,1276765,626629,441950,342810,373891,360870,278327,240870,242999,520296,332564,2709823,122314,72438,1872435,963383,583972,574736,239168,2160877,864801,719140,598392,1085147,1964919,338142,1915034,1551790,1161456,745619,538387,1061687,5088311,541426,81013,1121300,1123785,1371445,1812793,843183,231741,338300,82249,259810,10669232,396770,42197,91683,535272,44547,652714,261198,239418,156558,429720,110678,781103,541267,62366,393043,38062,147270,1114040,159848,1759226,811958,341534,2820915,4469391,280022,836131,276581,545226
2021-01-01,549224,422760,601867,407174,432725,696543,559041,704144,1240921,639689,445728,338466,384995,339822,270036,235530,222153,527110,340304,2681443,120983,68915,1861903,976931,577427,543375,240146,2129586,887698,766148,593267,1109961,1974005,349653,1858062,1487166,1163999,743424,518289,1064846,4826990,547105,82318,1139570,1135390,1414982,1887872,866334,234501,350236,84085,271594,10222989,407056,43520,96468,532627,45660,662832,248965,256230,157324,459531,120054,729622,531072,64333,422545,39251,148447,1074023,162517,1817377,822976,330371,2742633,4258856,289659,832348,294739,556805
2021-02-01,596851,458772,654589,452444,465778,752815,602951,807440,1290460,697486,467482,362703,396781,373786,280243,240676,237300,571411,351450,2880719,129829,76797,1977438,1054333,596264,564381,257450,2219967,920952,876429,634729,1140171,2132101,379852,1912621,1600326,1243165,775911,561284,1083412,5192401,609141,87744,1200389,1187504,1462059,1940126,894932,235115,370075,94821,268135,11059933,435066,44029,99542,524646,48021,678631,278649,273387,165856,438058,117660,761078,588527,71262,452361,45840,164594,1175659,167543,1989695,852391,342026,2837724,4571546,309995,860381,299593,605547
2021-03-01,588479,496758,681812,471998,469923,769375,625146,794395,1255187,722985,539966,386799,449261,425590,317056,271150,268026,632947,352409,2759506,143707,75515,1935602,987530,602140,599993,259594,2297382,950357,878334,620868,1217037,2025100,365867,1930916,1611792,1214881,807135,536684,1077886,5546654,617162,94142,1210964,1202638,1485133,1898025,894074,246929,403402,102191,281344,10602420,466465,49350,107321,535853,48528,686873,295465,267468,181421,452092,120746,872079,604521,81837,455551,50682,165025,1178934,178793,1875995,891806,348248,2792756,4565088,326018,879269,333118,630557
2021-04-01,576851,452547,647117,462615,451249,753236,613227,730087,1199966,696313,514824,412392,431752,418013,310155,288160,279605,624788,365494,2379783,149504,87498,1911496,962765,574526,587935,246311,2077544,981240,913357,597491,1140291,1857460,367522,1747157,1477981,1101300,762224,530343,982376,5860224,615904,94600,1111857,1109439,1375136,1695594,823194,241277,370414,96327,254703,10279937,454160,43354,97039,499600,46546,656215,311785,288603,174922,429458,101029,987994,582182,91844,424943,33542,178973,1096735,174041,1565555,843063,334522,2386502,3933389,311052,814918,299324,613403
